Date,Temperature(Celsius)(high),Temperature(Celsius)(avg),Temperature(Celsius)(low),Dew Point(Celsius)(high),Dew Point(Celsius)(avg),Dew Point(Celsius)(low),Humidity(%)(high),Humidity(%)(avg),Humidity(%)(low),Sea Level Press(hPa's)(high),Sea Level Press(hPa's)(avg),Sea Level Press(hPa's)(low),Visibility(km)(high),Visibility(km)(avg),Visibility(km)(low),Wind(km/h)(high),Wind(km/h)(avg),Precipitation(mm)(high),Precipitation(mm)(sum),weather1,weather2,weather3
2014-1-1,12,4,-2,-12,-17,-20,44,19,7,1019,1015,1012,31,11,5,32,16,47,0,,,
2014-1-2,7,0,-6,-6,-9,-13,74,50,28,1021,1018,1015,18,7,3,18,5,-,0,,,
2014-1-3,9,3,-2,-7,-13,-18,64,32,9,1026,1022,1018,31,13,5,18,8,-,0,,,
2014-1-4,2,-2,-6,-4,-7,-9,80,68,44,1026,1023,1020,10,5,2,11,5,-,0,,,
2014-1-5,7,0,-7,-5,-11,-15,80,51,15,1028,1025,1021,31,7,3,18,10,-,0,,,
2014-1-6,0,-2,-3,-4,-5,-7,80,72,61,1028,1026,1024,5,3,2,14,5,-,0,中雪,,
2014-1-7,5,0,-5,-4,-12,-25,86,45,6,1033,1027,1024,31,6,2,18,8,-,0,,,
2014-1-8,1,-4,-8,-20,-23,-28,36,21,6,1036,1034,1032,31,30,26,32,14,47,0,,,
2014-1-9,1,-6,-12,-21,-26,-35,41,19,4,1035,1032,1029,31,24,10,26,11,43,0,,,
2014-1-10,5,-4,-13,-18,-23,-29,48,25,5,1032,1031,1029,23,12,5,21,6,47,0,,,
2014-1-11,5,-4,-13,-13,-20,-27,57,29,8,1032,1030,1027,8,6,3,29,6,-,0,,,
2014-1-12,4,-3,-9,-19,-23,-28,38,18,5,1039,1036,1032,31,20,7,32,16,32,0,,,
2014-1-13,3,-4,-12,-12,-19,-23,58,35,9,1034,1032,1029,10,6,3,6,5,-,0,,,
2014-1-14,3,-4,-12,-9,-17,-24,67,37,13,1036,1034,1032,11,7,3,18,8,-,0,,,
2014-1-15,5,-2,-10,-7,-17,-23,63,38,9,1034,1031,1028,23,6,2,14,5,-,0,,,
2014-1-16,5,-1,-6,-3,-8,-16,86,61,21,1031,1028,1026,4,2,1,14,6,-,0,雾,,
2014-1-17,5,1,-3,-3,-13,-23,81,43,12,1033,1031,1029,14,6,1,29,13,43,0,中雪,,
2014-1-18,7,-1,-8,-8,-16,-22,85,31,13,1035,1033,1031,11,6,2,21,11,26,0,,,
2014-1-19,5,1,-4,-6,-11,-22,74,49,9,1030,1025,1020,26,5,4,43,11,64,0,,,
2014-1-20,4,0,-3,-19,-22,-25,26,17,8,1035,1030,1025,31,31,31,55,31,72,0,,,
2014-1-21,4,-1,-7,-18,-22,-25,39,20,7,1035,1032,1027,31,11,5,32,14,32,0,,,
2014-1-22,6,-2,-10,-13,-18,-22,53,32,8,1027,1024,1021,8,6,2,11,5,-,0,,,
2014-1-23,3,-3,-9,-9,-14,-17,59,44,22,1021,1017,1013,4,3,0,11,5,-,0,,,
2014-1-24,10,3,-4,-10,-17,-25,55,28,5,1022,1017,1014,18,5,2,18,10,-,0,,,
2014-1-25,7,1,-4,-7,-18,-25,64,23,4,1034,1027,1022,31,16,3,21,10,-,0,,,
2014-1-26,3,-2,-6,-7,-11,-14,74,50,24,1035,1029,1021,11,9,5,18,10,-,0,,,
2014-1-27,12,2,-7,-7,-14,-29,80,43,4,1027,1019,1016,31,6,3,40,10,-,0,,,
2014-1-28,5,-1,-6,-7,-16,-25,69,31,11,1031,1028,1023,26,13,8,21,11,-,0,,,
2014-1-29,3,-3,-8,-7,-9,-12,80,62,36,1023,1015,1011,8,6,2,11,6,-,0,,,
2014-1-30,8,2,-5,-4,-17,-27,75,31,4,1021,1018,1014,31,9,2,21,10,-,0,,,
2014-1-31,3,-1,-4,0,-7,-9,88,61,45,1021,1019,1017,6,4,0,14,8,-,0,中雨,,
2014-2-1,4,2,1,1,-3,-7,91,67,48,1019,1016,1012,5,4,0,14,6,-,0,中雨,,
2014-2-2,10,4,-1,1,-16,-35,89,37,4,1023,1015,1011,31,7,0,43,16,55,0,,,
2014-2-3,2,-2,-5,-16,-33,-40,23,8,4,1029,1027,1023,31,28,23,32,19,50,0,,,
2014-2-4,1,-3,-7,-24,-31,-38,24,10,4,1032,1030,1027,31,18,6,26,13,32,0,,,
2014-2-5,1,-6,-11,-11,-18,-25,59,33,7,1030,1029,1027,9,7,5,14,5,-,0,,,
2014-2-6,2,-3,-8,-6,-13,-16,69,46,20,1032,1030,1029,8,6,2,11,5,-,0,,,
2014-2-7,-2,-3,-5,-5,-7,-12,86,76,51,1031,1027,1024,8,4,0,14,10,-,2.03,中雪,,
2014-2-8,2,-3,-8,-6,-12,-22,89,54,15,1036,1028,1024,31,7,2,29,11,-,0.51,中雪,,
2014-2-9,-1,-7,-12,-16,-21,-23,48,28,11,1039,1037,1034,31,23,11,21,16,35,0,,,
2014-2-10,-1,-7,-13,-15,-19,-23,58,34,13,1038,1035,1031,31,23,5,18,10,-,0,,,
2014-2-11,1,-7,-13,-11,-15,-18,73,50,20,1031,1028,1025,8,6,2,14,5,29,0,,,
2014-2-12,4,-3,-11,-8,-16,-23,73,41,13,1036,1032,1029,11,5,2,18,8,-,0,,,
2014-2-13,1,-2,-4,-7,-10,-13,77,54,42,1038,1035,1031,6,4,2,18,10,-,0,中雪,,
2014-2-14,3,-3,-9,-7,-9,-11,86,65,37,1031,1026,1023,4,3,0,6,5,-,0,雾,,
2014-2-15,4,-2,-7,-6,-8,-10,80,64,39,1026,1025,1023,2,1,0,11,5,-,0,雾,,
2014-2-16,7,0,-6,-5,-9,-16,80,52,18,1033,1029,1025,6,3,0,18,10,-,0,雾,,
2014-2-17,5,1,-3,-7,-13,-19,64,36,10,1037,1035,1033,10,6,3,21,8,-,0,,,
2014-2-18,2,-1,-5,-8,-12,-13,55,45,26,1037,1032,1028,13,8,6,14,8,-,0,中雪,,
2014-2-19,6,-1,-8,-6,-13,-19,80,43,13,1031,1029,1027,23,7,2,18,8,-,0,,,
2014-2-20,1,-2,-4,-4,-6,-7,87,73,56,1032,1030,1029,5,2,0,14,6,-,0,雾 , 中雪,
2014-2-21,4,-1,-6,-3,-6,-8,86,68,45,1030,1028,1026,5,2,0,11,3,-,0,雾,,
2014-2-22,6,2,-2,-2,-4,-6,75,58,45,1032,1030,1029,3,2,0,11,6,-,0,雾,,
